cst,关键词翻译,AC推荐词,流量占比,流量词类型,预估周曝光量,相关产品,相关ASIN,ABA周排名,月搜索量,月购买量,购买率,展示量,点击量,SPR,标题密度,商品数,需供比,广告竞品数,点击集中度,前三ASIN转化总占比,PPC竞价,建议竞价范围,#1 前三ASIN,#1 点击共享,#1 转化共享,#2 前三ASIN,#2 点击共享,#2 转化共享,#3 前三ASIN,#3 点击共享,#3 转化共享,前十ASIN,matched_text
mens clothes clearance sale,男装清仓大甩卖,,,SP广告词,22 ,1.0,B0CJTXKT89,"178,404","8,759 ",13 ,0.15%,"194,881 ","4,232 ",1 ,0.0,"22,853 ",0.4,30 ,5.7%,3.4%,$1.14,$0.86 - $1.44,B077ZKDQLV,2.6%,2.8%,B0C14BB4B7,1.6%,0.0%,B0D4768ZL6,1.5%,0.6%,"B077ZKDQLV,B07DJBDB82,B078B27NBJ,B086L69KCL,B01NAFW5O0,B0132MFSUY,B0CXX6QCSY,B00JUM4CT4,B07NDP7HYC,B086L1PM8V",Clearance
men's linen shirts,男士亚麻衬衫,,,SP广告词,22 ,1.0,B0CJTXKT89,"180,514","13,188 ",342 ,2.60%,"323,548 ","5,203 ",8 ,19.0,"3,971 ",3.3,96 ,8.9%,2.0%,$1.59,$1.01 - $3.19,B0BVB6LQPT,3.8%,1.1%,B0BVB7THLY,2.8%,0.5%,B0BVB6FXR1,2.3%,0.5%,"B0BVB6LQPT,B0CQ1KKKGJ,B08CGQ1Q6F,B0CWH3G4KM,B086D42D51,B0CWKTJHGV,B083K7W772,B08DR1P669,B0C3D5HR1L,B09B7LS4WP",Linen
amazon prime shopping online,亚马逊 Prime 在线购物,,,SP广告词,21 ,1.0,B09Q5DYY7P,"179,722","5,777 ",59 ,1.03%,"145,427 ","2,432 ",2 ,0.0,161 ,35.9,543 ,29.0%,0.0%,$0.70,$0.52 - $0.88,B0956HNH2Y,12.9%,0.0%,B0D91PDWF1,8.4%,0.0%,B0D91NRH41,7.7%,0.0%,"B00551OP5A,B0BL2LGYD9,B00TRLVKW0,B09MQPMHN3,B0B8LR1MM6,B0C14X364X,B00175W3HK,B0CSD9DSCJ,B00ICTW9E6,B0013B7GIO","Amazon, Shopping, Prime"
pink long sleeve shirt,粉红色长袖衬衫,,,SP广告词,21 ,2.0,B0BZDR5C5L/B0BKWJ1KY2,"959,497","1,427 ",6 ,0.43%,"41,162 ",632 ,1 ,0.0,"41,262 ",0.0,276 ,18.7%,3.7%,$1.12,$0.89 - $1.34,B0CM8XQQ9T,10.4%,0.0%,B01I21GX7W,4.2%,3.7%,B0CKN3M4PN,4.2%,0.0%,"B01I21GX7W,B0CM8XKZTP,B08N5HHTLS,B0CKN3M4PN,B00T7TZ1BS,B07YGZFB6C,B08HCKWYKX,B0C94S2JH9,B09M8QRX5R,B084Q1JW56","Shirt, Long Sleeve, Long, Pink, Sleeve"
camisa polo ralph lauren para hombre,POLO RALPH LAUREN 男士衬衫,,,SP广告词,21 ,1.0,B0B28SWXWP,"184,255","8,577 ",5 ,0.06%,"244,330 ","3,623 ",1 ,0.0,265 ,32.4,25 ,15.3%,0.0%,,-,B0D3Q94FRG,8.2%,0.0%,B005LCMQJA,3.6%,0.0%,B09B362TND,3.5%,0.0%,"B07HS3YGPD,B005LCMQJA,B078YFG1D9,B09B362TND,B00PUBJ0JQ,B01GH5GZZU,B0CT2F79X1,B07FMZBNX5,B00XRSUH3W,B07HRFQ59F","Polo Ralph Lauren, Hombre"
white shirts for tie dye,用于扎染的白衬衫,,,HR推荐词/SP广告词,21 ,1.0,B0B28RYDQB,"184,681","9,850 ","1,197 ",12.16%,"231,989 ","4,279 ",28 ,0.0,"19,243 ",0.5,80 ,23.2%,5.1%,$0.82,$0.58 - $1.09,B0CBFQ9QLW,9.7%,0.0%,B00VTV9NFM,7.5%,2.8%,B00VTVB5FS,6.1%,2.3%,"B00VTVB5FS,B00VTV8ISK,B078HH9ZL9,B07612TNCZ,B077ZCT9SS,B08DG65F4C,B07MGYHR5R,B07T8C2HTQ,B0B2J33VQP,B00KRYLKH6","White, Tie dye"
men's shirt,男式衬衫,,,SP广告词,21 ,1.0,B0B28SWXWP,"187,275","9,765 ",468 ,4.80%,"219,322 ","4,638 ",11 ,3.0,"64,298 ",0.2,100 ,5.7%,0.9%,$1.48,$1.00 - $2.97,B0BV23K9QZ,2.6%,0.3%,B0BV257BCZ,1.7%,0.0%,B09313VG36,1.4%,0.6%,"B0787P86ZZ,B0785FWNL6,B0BV23K9QZ,B0BRXVTBKG,B077765WMW,B00NOY3JKW,B0BV241H3F,B09313VG36,B083P314GB,B07776V7KW",Shirt
mens knit shirt,男式针织衫,,,SP广告词,20 ,1.0,B0CJTXKT89,"189,687","9,621 ",350 ,3.64%,"254,253 ","3,884 ",8 ,1.0,"23,028 ",0.4,35 ,7.2%,1.2%,$0.87,$0.75 - $1.03,B0CPWR2RK7,2.4%,1.2%,B0CZ44YGDL,2.4%,0.0%,B0CN2YYFZ2,2.4%,0.0%,"B0CMZJB31L,B0CT2RNVXP,B0CP1LK534,B0CL6WMYZX,B0CZ446LDL,B0BLNPH371,B0CTCGRF8Y,B0CP3C4WZS,B09QSQV5Q6,B0BN9YZ5DL","Shirt, Knit"
big and tall jeans for men,大而高的男士牛仔裤,,,SP广告词,20 ,1.0,B0B28SWXWP,"195,113","7,847 ","1,668 ",21.27%,"176,883 ","3,317 ",38 ,0.0,"5,871 ",1.3,25 ,20.5%,0.0%,$1.35,$1.00 - $1.69,B0CBDHMCHK,8.9%,0.0%,B0CBDDQJGG,7.9%,0.0%,B0018OOJO0,3.8%,0.0%,"B0CBDGKDNN,B07BJ4L2ZP,B073V47RDF,B07HNWJP57,B071R6764R,B07BJ4Q5JZ,B074KKZ29W,B07YH2LD24,B07LGWQWWV,B06ZZ65N15","Jeans, Tall, big, Big And Tall"
linen shirts,亚麻衬衣,,,SP广告词,20 ,1.0,B0CJTXKT89,"192,847","11,436 ",19 ,0.17%,"242,285 ","4,544 ",1 ,44.0,"19,564 ",0.6,198 ,8.4%,0.9%,$1.08,$0.81 - $1.35,B0BVB6LQPT,3.9%,0.4%,B0CPTHL7KT,2.5%,0.0%,B086D53YZW,2.0%,0.4%,"B0BVB6LQPT,B08CGQ1Q6F,B08DR1P669,B0CCNB7YCQ,B086D42D51,B09B7LS4WP,B083K8DD4K,B0CLL2CCJR,B0BKFXG8SG,B083P314GB",Linen
flannel shirts,法兰绒衬衫,,,SP广告词,20 ,3.0,B0B28RYDQB/B0BKWJ1KY2/B0B28SWXWP,"526,625","2,549 ",3 ,0.15%,"53,910 ","1,257 ",1 ,34.0,"4,549 ",0.6,250 ,7.8%,2.7%,$1.10,$0.88 - $1.36,B07CXX9Z2F,3.4%,0.0%,B09BJFLBKK,2.4%,2.7%,B0D4V72VKJ,2.1%,0.0%,"B07CXX9Z2F,B08X593TWC,B00XH994ZI,B012XWXVUI,B09X6VBDJ9,B09HR846FP,B09BJFLBKK,B0BGPX7RZ6,B09CN8YCX4,B0BFR1GHG3",Flannel
palestine shirt,巴勒斯坦衬衫,,,SP广告词,20 ,1.0,B09Q5DYY7P,"194,810","8,323 ",183 ,2.22%,"170,226 ","3,985 ",5 ,1.0,"1,157 ",7.2,0 ,15.9%,15.0%,$0.38,$0.34 - $0.43,B0CS4P3MFP,6.6%,7.5%,B0956GVD7D,4.8%,1.6%,B094PF5VV8,4.5%,5.9%,"B0BXJ5YY8N,B0BX95YJR8,B094PF5VV8,B0CS4P3MFP,B0CLJX8SP2,B0CP1BCFL6,B0956GVD7D,B0CL5BQYZ1,B0CMC5TMQ9,B0CLBPCKNF",Shirt
georgia bulldogs shirt,乔治亚州斗牛犬队衬衫,,,SP广告词,19 ,1.0,B0BKWJ1KY2,"199,840","7,230 ",69 ,0.96%,"156,659 ","3,065 ",2 ,0.0,"1,251 ",5.8,21 ,17.9%,13.8%,$0.31,$0.23 - $0.38,B09BSW8RHZ,7.9%,3.8%,B0CNG964GQ,6.1%,8.4%,B0BBSMLN8F,3.9%,1.5%,"B079NRB16B,B09BSW8RHZ,B0CNG964GQ,B0BL1H94LF,B0BQX2ZNS6,B0BBSR1MW4,B09K834BJ9,B07J5Y644N,B0B94VM7PC,B078STXYSZ",Shirt
benson boone shirt,本森-布恩衬衫,,,HR推荐词/SP广告词,19 ,1.0,B0B28RYDQB,"200,368","6,256 ",198 ,3.17%,"148,921 ","2,796 ",5 ,0.0,124 ,50.5,33 ,16.0%,1.4%,$0.68,$0.51 - $0.86,B0D4V99T4R,6.0%,0.0%,B0D4TWT2DS,5.2%,0.0%,B0D223GN1F,4.7%,1.4%,"B0D4TWT2DS,B0C27DSKXR,B0D6GFHFR6,B0D223GN1F,B0D21R8GNX,B0D3Z11Z33,B0D3HVZ1RW,B0D41JT4WB,B0D3J41JGL,B0D3HS7FRS",Shirt
guess shirts for men,猜测男士衬衫,,,SP广告词,19 ,1.0,B09Q5423LG,"203,259","7,108 ",504 ,7.10%,"173,579 ","2,787 ",12 ,0.0,457 ,15.6,10 ,8.4%,1.7%,$0.95,$0.68 - $1.21,B0B9QVXVZB,3.1%,1.7%,B0D49PFCVZ,3.0%,0.0%,B0CKFP9BXS,2.3%,0.0%,"B0CSQLX2SW,B0CKFP9BXS,B0B9QVXVZB,B0775S1LMH,B0CSQXVMF7,B07CVGH5XJ,B0CMYB28KR,B0B9CD5TWS,B0CSR53263,B07SSCKFVL",Guess
maroon shirt men,栗色衬衫男,,,SP广告词,18 ,3.0,B09Q8FTTTY/B0BKWJ1KY2/B09Q5DYY7P,"545,954","2,595 ",1 ,0.07%,"73,497 ","1,144 ",1 ,0.0,"3,930 ",0.7,4 ,9.7%,2.4%,$1.51,$1.16 - $1.79,B071HG5XHF,3.9%,1.2%,B0CKK9P21F,3.1%,1.2%,B0C6Y8YWMG,2.7%,0.0%,"B0CKK9P21F,B071HG5XHF,B0C6Y8YWMG,B07HRK78BV,B00W9MUV24,B0016MOGOM,B075LZ8MTN,B09JFRY9HJ,B09Q5CH55Z,B07M61KP89","Shirt, Maroon"
polo long sleeve shirts for men,男士马球长袖衬衫,,,SP广告词,18 ,2.0,B0BKWJ1KY2/B0B28SWXWP,"373,530","4,062 ",9 ,0.24%,"114,161 ","1,846 ",1 ,0.0,"8,130 ",0.5,37 ,17.4%,0.0%,$1.15,$0.87 - $2.12,B07GXYCXWK,8.1%,0.0%,B0D3Q6HMD1,5.3%,0.0%,B0BLSKWDN1,4.0%,0.0%,"B0BLSKWDN1,B075LZ8MNZ,B0CW1TVH1Q,B08FH4BWYF,B075LT1NHL,B07GXYCXWK,B0D4DTXDZN,B09XJ18515,B0CJHTWZ6G,B09L52JBMV","Long, Sleeve, Long Sleeve"
mens quarter zip,男式四分之一拉链,,,SP广告词,18 ,1.0,B0B28SWXWP,"206,185","9,099 ",28 ,0.31%,"193,578 ","4,270 ",1 ,2.0,"6,843 ",1.3,86 ,12.4%,2.2%,$1.51,$1.13 - $1.89,B097YJFJQC,5.5%,0.0%,B07NWZ7XF4,4.1%,2.2%,B09JNJMDL9,2.8%,0.0%,"B01L0KSMVM,B09JNJMDL9,B07STFVFP2,B0C5BFCJMY,B0059DVE9O,B0835SGW9T,B07NWZ7XF4,B0785WS28C,B07MMYX6N4,B08X2D654V",quarter zip
green dress shirt men,绿色正装衬衫男士,,,SP广告词,18 ,1.0,B09Q5DYY7P,"209,684","7,311 ",41 ,0.57%,"209,951 ","3,567 ",1 ,0.0,"2,551 ",2.9,115 ,13.9%,1.8%,$0.93,$0.69 - $1.15,B0C3VV3F98,5.4%,1.3%,B07F3CY8GS,5.2%,0.4%,B08ZRX3WQX,3.3%,0.0%,"B07F3CY8GS,B09YLVQY67,B0CJK2H5CQ,B0C3VV3F98,B0CQX3BBNS,B0CR6FS3DV,B0BV27DL6Y,B0CGL576C5,B0BYNXDJHZ,B07F3F87X6","Shirt, Dress Shirt, Green, Dress"
mens red dress shirt,男式红色礼服衬衫,,,SP广告词,18 ,2.0,B0BKWJ1KY2/B0B28SWXWP,"384,803","3,265 ",35 ,1.10%,"65,798 ","1,498 ",1 ,0.0,"2,465 ",1.3,27 ,15.5%,3.6%,$0.97,$0.73 - $1.21,B07L2NXZ4K,8.1%,2.9%,B06XWJ4GQR,4.2%,0.7%,B07SG7BRPT,3.3%,0.0%,"B06XWJ4GQR,B072KH52C8,B0CJKF6N7G,B0BZJHFBVC,B0BZJF9QQP,B004OWHLVQ,B07KQ1W8JM,B06XWJPNR2,B08R7561DD,B08H8C3JG7","Shirt, Dress Shirt, Red, Dress"
purple button down shirt men,紫色系扣衬衫男士,,,SP广告词,18 ,2.0,B09Q5DYY7P/B0B28SWXWP,"380,395","3,963 ",30 ,0.76%,"93,565 ","1,692 ",1 ,0.0,"1,647 ",2.4,32 ,12.8%,2.2%,$1.12,$0.83 - $1.39,B0CQX2X2DS,5.3%,0.0%,B0CQX2WMGZ,3.8%,0.7%,B0CR6FJ76P,3.7%,1.5%,"B0CQX2WMGZ,B09LRZYJYJ,B0CX1DZWSW,B0CT8F9TC1,B0BZJHPT71,B0BMPRGDQB,B0CR3S6QGQ,B0CR6FJ76P,B0CQ23RMTC,B09SB112QS","Button, Purple, Shirt, Button Down"
gshock ga2100,gshock ga2100,,,SP广告词,18 ,1.0,B09Q5423LG,"209,687","7,985 ",68 ,0.86%,"176,963 ","3,406 ",2 ,0.0,624 ,12.8,39 ,38.7%,26.0%,$0.21,$0.18 - $0.28,B07WJFS6LH,22.4%,18.0%,B099K21CQV,10.3%,0.0%,B09T6P2SS4,6.0%,8.0%,"B07WJFS6LH,B07VHSBR4J,B09T6P2SS4,B099K21CQV,B07VCHDWVR,B09JJWMWSJ,B09YG8F41Y,B09T6QZCS3,B0C5VRF4QJ,B07WGJ1JNW",
mens plain round neck raglan sleeve spring sports,,,,SP广告词,18 ,1.0,B09Q5DYY7P,"212,817","4,888 ",170 ,3.48%,"141,321 ","2,438 ",4 ,6.0,"2,390 ",2.1,84 ,37.1%,1.0%,,-,B07DRPHBB3,25.2%,1.0%,B07DRQ1MQG,6.5%,0.0%,B07DRP4SVZ,5.4%,0.0%,"B07DRPHBB3,B0D266SMGD,B08FM22YFF,B0D669W42C,B088JYGKGN,B0D5CHF1Q2,B0D3TCTFNX,B0D9QGXY3T,B0BTBWJLN9,B0CXTCBFSZ","Raglan Sleeve, Plain, Sports, Spring, Neck, Sleeve"
mens crochet shirt,男式钩织衬衫,,,SP广告词,18 ,1.0,B0B28SWXWP,"212,037","7,145 ",247 ,3.46%,"200,433 ","3,327 ",6 ,2.0,593 ,12.1,62 ,14.7%,0.0%,$1.21,$0.91 - $1.50,B0CPP93Y5X,6.4%,0.0%,B0CMZJB31L,5.5%,0.0%,B0CMZGS1H2,2.8%,0.0%,"B0CMZJB31L,B0BNB1GDTQ,B0CSSQZ4YQ,B0CG9BS5JR,B0BWRSLD6N,B0CP3CGKGJ,B0D3Q8VTKT,B0D5CV71MW,B0D5LFLRKD,B0CK26V1D5","Shirt, Crochet"
2xlt shirts for men big and tall,2xlt 男士高大衬衫,,,SP广告词,18 ,2.0,B09Q5423LG/B0B28SWXWP,"378,737","4,428 ",162 ,3.66%,"122,974 ","2,191 ",4 ,0.0,"3,326 ",1.3,32 ,11.0%,3.5%,,-,B01MQSRB85,4.1%,0.7%,B07CZFFVQN,3.8%,1.4%,B00JUM8WFY,3.1%,1.4%,"B07CZFFVQN,B01MQSRB85,B00JUM8WFY,B0016MQH4E,B07JB8D26R,B077XPJJ7Q,B09Q5FMQVG,B07CZFSW8V,B00GBQ903U,B00B6ED0YM","Tall, big, Big And Tall"
mens corduroy pants,男式灯芯绒裤子,,,SP广告词,18 ,1.0,B0BKWJ1KY2,"214,336","6,821 ",8 ,0.13%,"153,329 ","2,893 ",1 ,30.0,439 ,15.5,208 ,10.5%,0.8%,$0.83,$0.62 - $1.04,B0D4JB6N84,3.7%,0.0%,B01BNSMXLG,3.4%,0.8%,B0CJRR8M4F,3.4%,0.0%,"B01BNSMXLG,B0BNWQ85B4,B08L9C4M1P,B0CC9M3CFF,B0C86SRN4W,B0CZNRCBRG,B0CNXGXVGF,B0CJRPN2BH,B0CPLSKVGZ,B0D6GD8R1B","Corduroy, Pants"
rhone shorts men,rhone 短裤 男士,,,SP广告词,18 ,2.0,B0BKWJ1KY2/B0B28SWXWP,"390,113","5,981 ",834 ,13.95%,"132,190 ","2,832 ",19 ,0.0,117 ,51.1,22 ,17.6%,0.8%,$3.24,$2.43 - $4.05,B07PN6P3T9,6.3%,0.8%,B086R7QP3T,6.1%,0.0%,B08378F9X2,5.2%,0.0%,"B086V952HD,B08GHMN72R,B08GH8VJMY,B0D5JXND82,B086R8CLK9,B07PN6P3T9,B09RK54KN9,B0C88C34V5,B0C888SF55,B08FCYJLY7",Shorts
vests,马甲,,,SP广告词,18 ,1.0,B09Q5423LG,"214,629","7,388 ",274 ,3.72%,"199,988 ","2,906 ",7 ,20.0,"62,043 ",0.1,157 ,8.2%,6.1%,$1.00,$0.57 - $1.25,B0D1G42SPX,3.1%,1.0%,B0C5Y4YDKY,2.6%,0.0%,B0761YKMTV,2.5%,5.1%,"B0BFM1Z8Q6,B0D1G42SPX,B0761YKMTV,B094X5FJ4D,B0CNYTW1Q6,B019DYG82W,B0B5JY6GJG,B074N58CK9,B08FWN68GB,B08HQ2MNR6",Vest
sweater for men,男式毛衣,,,SP广告词,17 ,1.0,B0BKWJ1KY2,"216,117","7,421 ",20 ,0.27%,"180,165 ","2,963 ",1 ,0.0,"24,049 ",0.3,71 ,11.4%,0.8%,$1.00,$0.75 - $1.25,B0CLH53WVN,4.3%,0.0%,B01L8JJ840,4.1%,0.8%,B0CFGL2YN5,3.1%,0.0%,"B01L8JJ840,B0B7ZC4JQ9,B00JUM4D2K,B08DFQ3NDR,B07P1F198Y,B00JUMCYEY,B079RQFVMZ,B08TVKYLC8,B0C9ZY111R,B08YS54ZRH",Sweater
van heusen,范赫森,,,SP广告词,17 ,1.0,B09Q5423LG,"216,917","9,430 ",5 ,0.06%,"207,196 ","3,919 ",1 ,170.0,"1,131 ",8.3,31 ,15.4%,0.0%,$4.05,$3.41 - $5.84,B08ZRX3WQX,7.4%,0.0%,B009ESZFMC,5.3%,0.0%,B07SG7BRPT,2.6%,0.0%,"B009ESZFMC,B00BM48EWO,B0979KNJ83,B07DPLVPZ5,B005DJBQPQ,B079ZR2PQK,B08GQ8YQMD,B00D1SQBSI,B07LCDTPWT,B06X3Q8YJT",
wrangler pearl snap shirts for men,男式牧马人珍珠按扣衬衫,,,SP广告词,17 ,1.0,B0B28SWXWP,"218,527","7,215 ",25 ,0.35%,"215,732 ","3,060 ",1 ,0.0,189 ,38.2,36 ,17.1%,1.6%,$0.78,$0.56 - $1.39,B000RF62QY,8.0%,0.8%,B0D3JCC9F4,4.8%,0.0%,B0006SCZMW,4.3%,0.8%,"B000RF62QY,B0006SCZMW,B007SWRA24,B008KGYWAK,B005DIF5Z4,B09NMNV32H,B07V2JNK8M,B00XA5NUE0,B005DIKSOM,B005DIGT5E","Pearl, Wrangler"
custom hawaiian shirt with face,定制夏威夷衬衫与脸,,,SP广告词,17 ,1.0,B0CJTXKT89,"216,396","7,992 ",292 ,3.66%,"237,231 ","3,310 ",7 ,34.0,510 ,15.7,147 ,37.7%,15.0%,,-,B0C49NHSKL,24.6%,9.9%,B0D7MMJYPC,8.7%,3.3%,B0D3YQWMQ8,4.5%,1.9%,"B0C49NHSKL,B0CZXX3TRC,B0D7MMJYPC,B098PF2DTW,B0C32Z921B,B08DTYCF9R,B0D3YQWMQ8,B0CW9J3G6K,B0CX4PXXS4,B0C71HF48H","Shirt, hawaiian, CUSTOM"
men's long sleeve dress shirts,男士长袖礼服衬衫,,,品牌广告词,17 ,4.0,B0CQX2P4T2/B0CQX37DZH/B09Q5DYY7P/B0B28SWXWP,"753,971","1,770 ",98 ,5.59%,"50,896 ",879 ,3 ,0.0,"4,375 ",0.4,4 ,13.9%,0.0%,$1.22,$0.79 - $2.45,B009ESZFFO,5.9%,0.0%,B08ZRX3WQX,5.6%,0.0%,B000PHG4N0,2.5%,0.0%,"B009ESZFFO,B0CQX1FVL3,B000PHG4N0,B09JFZTWVJ,B0C49Y4YXF,B00D1SQBSI,B079ZQRFF1,B0775MHKD6,B0775YF8BH,B06Y4FJZWL","Long, Dress, Sleeve, Long Sleeve"
chalino sanchez shirt,查利诺桑切斯衬衫,,,SP广告词,17 ,2.0,B0BKWJ1KY2/B0B28SWXWP,"396,344","3,061 ",271 ,8.86%,"71,049 ","1,280 ",7 ,5.0,203 ,15.1,32 ,17.2%,8.1%,$0.43,$0.33 - $0.55,B09SYNHQYH,7.9%,8.1%,B08TTTNHVC,5.0%,0.0%,B098D43LS6,4.3%,0.0%,"B08YN2ZYZ4,B08YNQFZZT,B09SYNHQYH,B0D4M3MKK1,B08TSZBFVP,B0BPL6YQFR,B0CSBRL5PT,B0CTBMLMCG,B0858FTGW1,B0CRDQGTY5",Shirt
polo shorts,马球短裤,,,SP广告词,17 ,1.0,B09Q5DYY7P,"222,238","7,465 ",359 ,4.82%,"217,235 ","3,487 ",9 ,0.0,"7,613 ",1.0,66 ,23.9%,7.9%,$0.91,$0.68 - $1.13,B074V6JJZC,13.8%,6.6%,B07GQYTXVQ,5.9%,1.3%,B0D3Q278Y1,4.3%,0.0%,"B075NZQ6VD,B07GQYTXVQ,B074V6JJZC,B07GPKFW8X,B06VVNN899,B07FMTYBBD,B0979QP6KT,B07DB8764R,B0B1SBKLP1,B0979PPK5C",Shorts
ice spice shirt,冰激凌衬衫,,,SP广告词,17 ,1.0,B0B28RYDQB,"223,719","5,618 ",194 ,3.46%,"163,410 ","2,163 ",5 ,0.0,144 ,39.0,106 ,29.3%,14.8%,$0.40,$0.31 - $0.50,B0CJNWT2T3,17.5%,14.8%,B0D3C7BD56,5.9%,0.0%,B0D3BVG22M,5.8%,0.0%,"B0CJNWT2T3,B0D3BVG22M,B0D6HKJ1YR,B0D3X6F9P4,B0CGCHN9FK,B0CTS55XNQ,B0CD3JPXZF,B0CMPLLZ4C,B0BY7LSX3J,B0CN5FMVB5","Shirt, ice"
hot pink shirt,粉红色的热衬衫,,,SP广告词,17 ,1.0,B0B28SWXWP,"225,431","6,470 ",17 ,0.27%,"172,123 ","2,802 ",1 ,0.0,"14,201 ",0.5,449 ,9.2%,4.5%,$0.77,$0.60 - $0.98,B0BY2CNFGG,3.9%,2.2%,B0BXRQL3SY,3.2%,1.5%,B09T3TJC4K,2.1%,0.8%,"B09T3TJC4K,B0CWXZ93QS,B01AMLACEK,B07MDCSPJ9,B0BZ89QF49,B0C1YTVFNT,B08Q76V37Q,B0CR5P9CN3,B0BXRQL3SY,B09Z6LMFTZ","Shirt, Pink, Hot pink, Hot"
black long sleeve shirt,黑色长袖衬衫,,,SP广告词,17 ,1.0,B0B28RYDQB,"228,593","6,868 ",829 ,12.08%,"149,191 ","3,417 ",19 ,0.0,"52,964 ",0.1,398 ,12.1%,4.5%,$1.20,$0.87 - $1.67,B00T7TXS2W,4.8%,3.7%,B0BW8ZFMDJ,3.7%,0.8%,B0C425QVDJ,3.7%,0.0%,"B00T7TXS2W,B07MDCS7FY,B0BW99SRNR,B01I21HOUW,B076846XZR,B071ZH5Y4V,B01M213CWS,B07682H99R,B0CM8MM85L,B0CSYC77C1","Shirt, Long Sleeve, Long, Black, Sleeve"
gildan softstyle,Gildan softstyle,,,SP广告词,17 ,1.0,B09Q5DYY7P,"227,954","7,076 ",33 ,0.48%,"203,993 ","3,216 ",1 ,4.0,"1,348 ",5.3,5 ,27.3%,1.7%,$0.83,$0.62 - $1.04,B0D17LJRSX,10.3%,0.0%,B07MGYGYRB,8.9%,1.2%,B01AMLALBY,8.1%,0.6%,"B07MGYGYRB,B07MGYHR95,B096T4HX3Z,B07M93KWFT,B01AMLALBY,B093136ND2,B07MKKRMF3,B076124BKM,B005X2PAWI,B00W2E8RF2",Gildan
american eagle shirts for men,美国老鹰公司的男士衬衫,,,SP广告词,16 ,1.0,B0B28SWXWP,"225,949","7,352 ",586 ,7.98%,"214,535 ","3,109 ",14 ,0.0,"3,027 ",2.4,12 ,22.0%,12.8%,$0.46,$0.34 - $0.57,B082RN3SM3,13.5%,8.5%,B07SYXTH64,6.2%,2.1%,B07SCCSQBP,2.4%,2.1%,"B07NFSTB2Z,B082RN3SM3,B07HRK78BV,B07SYXTH64,B07DJ7CPT9,B01F9OK6UK,B07XVYB5FF,B01GH5FMH2,B07775348L,B07C8YCG9S",American
army shirt,军装衬衫,,,SP广告词,16 ,1.0,B09Q5DYY7P,"232,015","6,054 ",52 ,0.88%,"150,509 ","2,955 ",2 ,5.0,"40,097 ",0.2,113 ,14.4%,3.5%,$1.19,$0.86 - $1.37,B07JC8RQ7X,5.4%,1.8%,B07R7RNWJ2,5.2%,1.8%,B0CP8KGVC5,3.9%,0.0%,"B07JC8RQ7X,B0CP8KGVC5,B000IWTHFY,B014SECLUU,B0D1W1TK6F,B09VKB1RS3,B07R7RNWJ2,B018I2DM5G,B07R8WMJGC,B09XFFZH78","Shirt, Army"
lee,李,,,SP广告词,16 ,1.0,B09Q5DYY7P,"232,413","9,545 ",231 ,2.44%,"198,274 ","4,323 ",6 ,207.0,"42,397 ",0.2,146 ,11.8%,0.0%,$0.56,$0.46 - $0.70,B09QT41YRH,5.0%,0.0%,B0D918ST85,3.7%,0.0%,B0008EOGAS,3.1%,0.0%,"B0008EOGAS,B0C6L8GXV1,B00QNAKM9A,B016Y826EE,B07R635DYG,B09P4B25DB,B0CQZ48SFL,B078VZ2HVS,B07R43V7C4,B0CQL5JKTT",LEE
blue gingham dress,蓝色格子连衣裙,,,SP广告词,16 ,1.0,B0BKWJ1KY2,"234,779","8,203 ",4 ,0.05%,"202,558 ","4,084 ",1 ,3.0,700 ,11.7,74 ,10.3%,9.9%,$0.43,$0.31 - $0.54,B0BVLHRCVC,4.3%,6.2%,B0BVLKXK7D,3.3%,2.5%,B09P5BY93H,2.7%,1.2%,"B0BVLHRCVC,B09PG3WJRD,B09P5BY93H,B0CM2VFDRL,B0BKJZQCF1,B09KTHC5SQ,B0B12FN4S2,B0B3D432R6,B0CZTBRKKK,B0D2XCV3CS","Dress, Gingham, Blue"
embroidered vest,刺绣背心,,,SP广告词,16 ,1.0,B09Q5DYY7P,"240,627","5,839 ",160 ,2.76%,"129,130 ","2,461 ",4 ,92.0,487 ,12.0,173 ,19.7%,4.9%,$0.63,$0.47 - $0.80,B0C7VWTQL5,8.9%,2.5%,B0C7QYHXVX,6.5%,0.0%,B0CBWJGN9M,4.3%,2.5%,"B0CBWHWL4Q,B0CBQ9Q8R6,B0C7VWTQL5,B0CYL3D52P,B0B8YXQDPY,B0CP7KW489,B0CBMFYRWD,B0D66BBVHG,B0D16XHHMJ,B0CYP8XY6X","Embroidered, Vest"
groove life,凹槽寿命,,,SP广告词,15 ,1.0,B09Q5423LG,"240,718","18,335 ","1,697 ",9.26%,"429,665 ","8,910 ",39 ,106.0,330 ,55.6,85 ,25.0%,5.4%,$0.93,$0.69 - $1.15,B0BSB38JM7,14.7%,5.4%,B08KWQF6NW,5.8%,0.0%,B07VKRFJPJ,4.5%,0.0%,"B08KXMPHWD,B08KWS4DYZ,B0BSB38JM7,B08KWRS25D,B0D245WKSJ,B07S9DML9Q,B09ZYRS95T,B07JC9K4QS,B0C7SJ5H6G,B0B4YYT1K3",
